{'query': '重庆市垫江县气象台发布大雾黄色预警信号', 'dynamic_info': '垫江县气象台2025年1月2日22时20分发布“大雾黄色预警信号”，预计3日0:00-11:00，我县所有乡镇（街道）可能出现能见度小于500米的雾，局地能见度小于200米。请各地注意防范大雾天气可能造成的影响。'}
{'query': '贵州省遵义市正安县气象台发布大雾黄色预警信号', 'dynamic_info': '正安县气象台2025年01月02日22时27分发布大雾黄色预警信号：预计未来12小时我县班竹、桴焉、乐俭、凤仪等镇（街）部分路段将出现能见度小于500米的雨雾天气，请注意交通安全。'}
{'query': '福建省莆田市秀屿区气象台发布大风黄色预警信号', 'dynamic_info': '秀屿区气象台2025年01月02日22时18分发布大风黄色预警信号：受冷空气影响，预计未来12小时秀屿区、湄洲岛和北岸有8～9级的东北大风。请注意防范！'}
{'query': '贵州省贵阳市息烽县气象台发布大雾黄色预警信号', 'dynamic_info': '息烽县气象台2025年01月02日22时10分继续发布大雾黄色预警信号：目前我县永靖、永阳等乡镇（街道）已经出现能见度小于500米的雾，预计未来持续，请小心驾驶；请相关单位和人员参照气象灾害防御指南做好防灾减灾工作。'}
{'query': '重庆市江津区气象台发布大雾黄色预警信号', 'dynamic_info': '江津区气象台2025年1月2日21时50分发布“大雾黄色预警信号”，预计3日1:00-11:00，夏坝镇、贾嗣镇、珞璜镇、支坪镇、鼎山街道、杜市镇、柏林镇、中山镇、四屏镇、四面山镇、蔡家镇、嘉平镇、广兴镇、西湖镇、油溪镇、德感街道、吴滩镇、龙华镇、圣泉街道、双福街道、先锋镇、几江街道、永兴镇、塘河镇、慈云镇、石门镇、朱杨镇、石蟆镇、白沙镇、李市镇等镇街，可能出现能见度小于500米的雾，局地能见度小于200米，请注意防范。'}
{'query': '贵州省遵义市气象台发布大雾黄色预警信号', 'dynamic_info': '遵义市气象台2025年01月02日22时01分发布大雾黄色预警信号：预计未来12小时内新蒲（新蒲街道、喇叭、新舟、虾子等镇街）部分路段将出现能见度小于500米的大雾，请注意交通安全。'}
{'query': '新疆维吾尔自治区喀什地区塔什库尔干县气象台发布道路结冰黄色预警信号', 'dynamic_info': '塔什库尔干县气象台2025年1月2日21时51分发布道路结冰黄色预警信号：预计未来三天塔什库尔干县各地将出现对交通有影响的道路结冰，请相关部门按照职责做好防范工作。'}
{'query': '贵州省遵义市习水县气象台发布大雾黄色预警信号', 'dynamic_info': '习水县气象台1月2日21时35分继续发布大雾黄色预警信号：目前我县遵赤高速（马临—土城）、江习古高速（寨坝—重庆、黄木坪—良村）、正习高速（仙源—桐梓）以及高山乡镇部分路段已出现能见度小于500米的大雾天气，对行车安全有一定影响，预计未来12小时将持续，请注意防范。'}
{'query': '湖南省长沙市浏阳市气象台发布霾黄色预警信号', 'dynamic_info': '浏阳市气象台2025年1月2日20时40分发布霾黄色预警信号：预计浏阳市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '贵州省贵阳市开阳县气象台发布大雾橙色预警信号', 'dynamic_info': '开阳县气象台2025年01月02日20时39分将大雾黄色预警信号升级为大雾橙色预警信号：目前我县双流、永温、城区等乡镇（街道）已出现能见度小于200米的雾，预计未来持续，请小心驾驶；请相关单位和人员参照气象灾害防御指南做好防灾减灾工作。'}
{'query': '四川省达州市宣汉县气象台发布大雾黄色预警信号', 'dynamic_info': '宣汉县气象台2025年01月02日22时28分发布大雾黄色预警信号：预计我县3日凌晨至上午将出现能见度小于500米，局地小于200的大雾，请注意防范大雾天气造成的不利影响。'}
{'query': '江苏省南通市如东县气象台发布大雾橙色预警信号', 'dynamic_info': '如东县气象台2025年01月02日22时19分发布大雾橙色预警信号：目前我县洋口、苴镇、新店等地区能见度较低，预计今天半夜到明晨我县洋口、苴镇、新店、掘港、城中等大部分镇（区、街道）将出现能见度不足200米的强浓雾，局地小于50米的特强浓雾，明天上午9时前后大雾消散。能见度较低，县应急局（县减灾办）、县气象局提醒注意防范。'}
{'query': '江西省九江市彭泽县气象台发布大风蓝色预警信号', 'dynamic_info': '彭泽县气象台2025年01月02日22时08分发布大风蓝色预警信号：预计未来24小时内，受冷空气南下影响，彭泽县江湖水面阵风可达7-8级，请注意防范。'}
{'query': '贵州省遵义市红花岗区气象台发布大雾黄色预警信号', 'dynamic_info': '红花岗区气象台2025年1月2日22时07分继续发布大雾黄色预警信号：预计未来12小时我区南关、深溪、海龙、金鼎等镇街部分路段仍将出现能见度小于500米的雨雾天气，请注意交通安全。'}
